hour,total_ridership
2021-01-01 00:00:00.000000 UTC,9704
2021-01-01 01:00:00.000000 UTC,51
2021-01-01 02:00:00.000000 UTC,27
2021-01-01 03:00:00.000000 UTC,13
2021-01-01 04:00:00.000000 UTC,1977
2021-01-01 05:00:00.000000 UTC,10302
2021-01-01 06:00:00.000000 UTC,18332
2021-01-01 07:00:00.000000 UTC,26576
2021-01-01 08:00:00.000000 UTC,28695
2021-01-01 09:00:00.000000 UTC,24921
2021-01-01 10:00:00.000000 UTC,27457
2021-01-01 11:00:00.000000 UTC,31576
2021-01-01 12:00:00.000000 UTC,38746
2021-01-01 13:00:00.000000 UTC,46876
2021-01-01 14:00:00.000000 UTC,53514
2021-01-01 15:00:00.000000 UTC,58346
2021-01-01 16:00:00.000000 UTC,56957
2021-01-01 17:00:00.000000 UTC,46358
2021-01-01 18:00:00.000000 UTC,39344
2021-01-01 19:00:00.000000 UTC,30178
2021-01-01 20:00:00.000000 UTC,22671
2021-01-01 21:00:00.000000 UTC,19496
2021-01-01 22:00:00.000000 UTC,18624
2021-01-01 23:00:00.000000 UTC,12284
2021-01-02 00:00:00.000000 UTC,5088
2021-01-02 01:00:00.000000 UTC,13
2021-01-02 02:00:00.000000 UTC,9
2021-01-02 03:00:00.000000 UTC,16
2021-01-02 04:00:00.000000 UTC,2517
2021-01-02 05:00:00.000000 UTC,13839
2021-01-02 06:00:00.000000 UTC,25142
2021-01-02 07:00:00.000000 UTC,35621
2021-01-02 08:00:00.000000 UTC,40836
2021-01-02 09:00:00.000000 UTC,43057
2021-01-02 10:00:00.000000 UTC,48797
2021-01-02 11:00:00.000000 UTC,56384
2021-01-02 12:00:00.000000 UTC,66678
2021-01-02 13:00:00.000000 UTC,78416
2021-01-02 14:00:00.000000 UTC,85081
2021-01-02 15:00:00.000000 UTC,89459
2021-01-02 16:00:00.000000 UTC,89270
2021-01-02 17:00:00.000000 UTC,81531
2021-01-02 18:00:00.000000 UTC,64389
2021-01-02 19:00:00.000000 UTC,53035
2021-01-02 20:00:00.000000 UTC,38789
2021-01-02 21:00:00.000000 UTC,30316
2021-01-02 22:00:00.000000 UTC,27837
2021-01-02 23:00:00.000000 UTC,17267
2021-01-03 00:00:00.000000 UTC,6564
2021-01-03 01:00:00.000000 UTC,24
2021-01-03 02:00:00.000000 UTC,11
2021-01-03 03:00:00.000000 UTC,9
2021-01-03 04:00:00.000000 UTC,2114
2021-01-03 05:00:00.000000 UTC,11428
2021-01-03 06:00:00.000000 UTC,20125
2021-01-03 07:00:00.000000 UTC,27406
2021-01-03 08:00:00.000000 UTC,31006
2021-01-03 09:00:00.000000 UTC,32915
2021-01-03 10:00:00.000000 UTC,35914
2021-01-03 11:00:00.000000 UTC,36596
2021-01-03 12:00:00.000000 UTC,41692
2021-01-03 13:00:00.000000 UTC,49178
2021-01-03 14:00:00.000000 UTC,54766
2021-01-03 15:00:00.000000 UTC,56218
2021-01-03 16:00:00.000000 UTC,53717
2021-01-03 17:00:00.000000 UTC,47614
2021-01-03 18:00:00.000000 UTC,40910
2021-01-03 19:00:00.000000 UTC,31400
2021-01-03 20:00:00.000000 UTC,24701
2021-01-03 21:00:00.000000 UTC,21267
2021-01-03 22:00:00.000000 UTC,19816
2021-01-03 23:00:00.000000 UTC,12693
2021-01-04 00:00:00.000000 UTC,4778
2021-01-04 01:00:00.000000 UTC,51
2021-01-04 02:00:00.000000 UTC,19
2021-01-04 03:00:00.000000 UTC,21
2021-01-04 04:00:00.000000 UTC,7217
2021-01-04 05:00:00.000000 UTC,51286
2021-01-04 06:00:00.000000 UTC,92965
2021-01-04 07:00:00.000000 UTC,122177
2021-01-04 08:00:00.000000 UTC,124507
2021-01-04 09:00:00.000000 UTC,83900
2021-01-04 10:00:00.000000 UTC,67653
2021-01-04 11:00:00.000000 UTC,64279
2021-01-04 12:00:00.000000 UTC,70314
2021-01-04 13:00:00.000000 UTC,83193
2021-01-04 14:00:00.000000 UTC,103196
2021-01-04 15:00:00.000000 UTC,128041
2021-01-04 16:00:00.000000 UTC,142540
2021-01-04 17:00:00.000000 UTC,144791
2021-01-04 18:00:00.000000 UTC,100192
2021-01-04 19:00:00.000000 UTC,64792
2021-01-04 20:00:00.000000 UTC,41961
2021-01-04 21:00:00.000000 UTC,30639
2021-01-04 22:00:00.000000 UTC,26531
2021-01-04 23:00:00.000000 UTC,18341
2021-01-05 00:00:00.000000 UTC,6001
2021-01-05 01:00:00.000000 UTC,28
2021-01-05 02:00:00.000000 UTC,17
2021-01-05 03:00:00.000000 UTC,28
2021-01-05 04:00:00.000000 UTC,7208
2021-01-05 05:00:00.000000 UTC,52602
2021-01-05 06:00:00.000000 UTC,95943
2021-01-05 07:00:00.000000 UTC,126607
2021-01-05 08:00:00.000000 UTC,127921
2021-01-05 09:00:00.000000 UTC,86185
2021-01-05 10:00:00.000000 UTC,68957
2021-01-05 11:00:00.000000 UTC,65230
2021-01-05 12:00:00.000000 UTC,71652
2021-01-05 13:00:00.000000 UTC,84445
2021-01-05 14:00:00.000000 UTC,103901
2021-01-05 15:00:00.000000 UTC,130516
2021-01-05 16:00:00.000000 UTC,147813
2021-01-05 17:00:00.000000 UTC,147983
2021-01-05 18:00:00.000000 UTC,103048
2021-01-05 19:00:00.000000 UTC,66532
2021-01-05 20:00:00.000000 UTC,43887
2021-01-05 21:00:00.000000 UTC,32388
2021-01-05 22:00:00.000000 UTC,27206
2021-01-05 23:00:00.000000 UTC,18416
2021-01-06 00:00:00.000000 UTC,6250
2021-01-06 01:00:00.000000 UTC,88
2021-01-06 02:00:00.000000 UTC,14
2021-01-06 03:00:00.000000 UTC,23
2021-01-06 04:00:00.000000 UTC,7172
2021-01-06 05:00:00.000000 UTC,52993
2021-01-06 06:00:00.000000 UTC,96650
2021-01-06 07:00:00.000000 UTC,128294
2021-01-06 08:00:00.000000 UTC,129470
2021-01-06 09:00:00.000000 UTC,87202
2021-01-06 10:00:00.000000 UTC,69658
2021-01-06 11:00:00.000000 UTC,65798
2021-01-06 12:00:00.000000 UTC,72165
2021-01-06 13:00:00.000000 UTC,84813
2021-01-06 14:00:00.000000 UTC,105143
2021-01-06 15:00:00.000000 UTC,132110
2021-01-06 16:00:00.000000 UTC,149924
2021-01-06 17:00:00.000000 UTC,150795
2021-01-06 18:00:00.000000 UTC,102970
2021-01-06 19:00:00.000000 UTC,66483
2021-01-06 20:00:00.000000 UTC,43511
2021-01-06 21:00:00.000000 UTC,32383
2021-01-06 22:00:00.000000 UTC,27732
2021-01-06 23:00:00.000000 UTC,18774
2021-01-07 00:00:00.000000 UTC,6147
2021-01-07 01:00:00.000000 UTC,21
2021-01-07 02:00:00.000000 UTC,32
2021-01-07 03:00:00.000000 UTC,22
2021-01-07 04:00:00.000000 UTC,7160
2021-01-07 05:00:00.000000 UTC,52023
2021-01-07 06:00:00.000000 UTC,95315
2021-01-07 07:00:00.000000 UTC,127166
2021-01-07 08:00:00.000000 UTC,128700
2021-01-07 09:00:00.000000 UTC,86770
2021-01-07 10:00:00.000000 UTC,69398
2021-01-07 11:00:00.000000 UTC,64445
2021-01-07 12:00:00.000000 UTC,71623
2021-01-07 13:00:00.000000 UTC,83559
2021-01-07 14:00:00.000000 UTC,104066
2021-01-07 15:00:00.000000 UTC,129958
2021-01-07 16:00:00.000000 UTC,148014
2021-01-07 17:00:00.000000 UTC,151003
2021-01-07 18:00:00.000000 UTC,105934
2021-01-07 19:00:00.000000 UTC,69180
2021-01-07 20:00:00.000000 UTC,45276
2021-01-07 21:00:00.000000 UTC,33116
2021-01-07 22:00:00.000000 UTC,29090
2021-01-07 23:00:00.000000 UTC,18855
2021-01-08 00:00:00.000000 UTC,6241
2021-01-08 01:00:00.000000 UTC,66
2021-01-08 02:00:00.000000 UTC,15
