hour,zone,total_ridership
2024-01-01 00:00:00.000000 UTC,Inside,21440
2024-01-01 00:00:00.000000 UTC,Outside,57310
2024-01-01 01:00:00.000000 UTC,Inside,20815
2024-01-01 01:00:00.000000 UTC,Outside,51618
2024-01-01 02:00:00.000000 UTC,Inside,13026
2024-01-01 02:00:00.000000 UTC,Outside,28865
2024-01-01 03:00:00.000000 UTC,Inside,6191
2024-01-01 03:00:00.000000 UTC,Outside,14545
2024-01-01 04:00:00.000000 UTC,Inside,3189
2024-01-01 04:00:00.000000 UTC,Outside,10635
2024-01-01 05:00:00.000000 UTC,Inside,1981
2024-01-01 05:00:00.000000 UTC,Outside,14249
2024-01-01 06:00:00.000000 UTC,Inside,2909
2024-01-01 06:00:00.000000 UTC,Outside,23463
2024-01-01 07:00:00.000000 UTC,Inside,4095
2024-01-01 07:00:00.000000 UTC,Outside,32649
2024-01-01 08:00:00.000000 UTC,Inside,5238
2024-01-01 08:00:00.000000 UTC,Outside,37599
2024-01-01 09:00:00.000000 UTC,Inside,7175
2024-01-01 09:00:00.000000 UTC,Outside,40612
2024-01-01 10:00:00.000000 UTC,Inside,11201
2024-01-01 10:00:00.000000 UTC,Outside,50427
2024-01-01 11:00:00.000000 UTC,Inside,16118
2024-01-01 11:00:00.000000 UTC,Outside,61618
2024-01-01 12:00:00.000000 UTC,Inside,20383
2024-01-01 12:00:00.000000 UTC,Outside,74668
2024-01-01 13:00:00.000000 UTC,Inside,23767
2024-01-01 13:00:00.000000 UTC,Outside,89723
2024-01-01 14:00:00.000000 UTC,Inside,26240
2024-01-01 14:00:00.000000 UTC,Outside,99836
2024-01-01 15:00:00.000000 UTC,Inside,30759
2024-01-01 15:00:00.000000 UTC,Outside,105490
2024-01-01 16:00:00.000000 UTC,Inside,32098
2024-01-01 16:00:00.000000 UTC,Outside,105286
2024-01-01 17:00:00.000000 UTC,Inside,32325
2024-01-01 17:00:00.000000 UTC,Outside,97612
2024-01-01 18:00:00.000000 UTC,Inside,29264
2024-01-01 18:00:00.000000 UTC,Outside,81858
2024-01-01 19:00:00.000000 UTC,Inside,24125
2024-01-01 19:00:00.000000 UTC,Outside,62394
2024-01-01 20:00:00.000000 UTC,Inside,19214
2024-01-01 20:00:00.000000 UTC,Outside,50582
2024-01-01 21:00:00.000000 UTC,Inside,16566
2024-01-01 21:00:00.000000 UTC,Outside,41430
2024-01-01 22:00:00.000000 UTC,Inside,12356
2024-01-01 22:00:00.000000 UTC,Outside,32519
2024-01-01 23:00:00.000000 UTC,Inside,7639
2024-01-01 23:00:00.000000 UTC,Outside,20270
2024-01-02 00:00:00.000000 UTC,Inside,3865
2024-01-02 00:00:00.000000 UTC,Outside,10123
2024-01-02 01:00:00.000000 UTC,Inside,1659
2024-01-02 01:00:00.000000 UTC,Outside,4255
2024-01-02 02:00:00.000000 UTC,Inside,844
2024-01-02 02:00:00.000000 UTC,Outside,3132
2024-01-02 03:00:00.000000 UTC,Inside,578
2024-01-02 03:00:00.000000 UTC,Outside,4814
2024-01-02 04:00:00.000000 UTC,Inside,1092
2024-01-02 04:00:00.000000 UTC,Outside,14911
2024-01-02 05:00:00.000000 UTC,Inside,5831
2024-01-02 05:00:00.000000 UTC,Outside,52838
2024-01-02 06:00:00.000000 UTC,Inside,15920
2024-01-02 06:00:00.000000 UTC,Outside,113254
2024-01-02 07:00:00.000000 UTC,Inside,34014
2024-01-02 07:00:00.000000 UTC,Outside,224282
2024-01-02 08:00:00.000000 UTC,Inside,50479
2024-01-02 08:00:00.000000 UTC,Outside,257526
2024-01-02 09:00:00.000000 UTC,Inside,35054
2024-01-02 09:00:00.000000 UTC,Outside,155086
2024-01-02 10:00:00.000000 UTC,Inside,25189
2024-01-02 10:00:00.000000 UTC,Outside,109677
2024-01-02 11:00:00.000000 UTC,Inside,25850
2024-01-02 11:00:00.000000 UTC,Outside,102551
2024-01-02 12:00:00.000000 UTC,Inside,28806
2024-01-02 12:00:00.000000 UTC,Outside,109086
2024-01-02 13:00:00.000000 UTC,Inside,32594
2024-01-02 13:00:00.000000 UTC,Outside,126406
2024-01-02 14:00:00.000000 UTC,Inside,41564
2024-01-02 14:00:00.000000 UTC,Outside,159058
2024-01-02 15:00:00.000000 UTC,Inside,55746
2024-01-02 15:00:00.000000 UTC,Outside,199409
2024-01-02 16:00:00.000000 UTC,Inside,69663
2024-01-02 16:00:00.000000 UTC,Outside,225790
2024-01-02 17:00:00.000000 UTC,Inside,95036
2024-01-02 17:00:00.000000 UTC,Outside,263514
2024-01-02 18:00:00.000000 UTC,Inside,65420
2024-01-02 18:00:00.000000 UTC,Outside,180324
2024-01-02 19:00:00.000000 UTC,Inside,37834
2024-01-02 19:00:00.000000 UTC,Outside,106309
2024-01-02 20:00:00.000000 UTC,Inside,26399
2024-01-02 20:00:00.000000 UTC,Outside,75421
2024-01-02 21:00:00.000000 UTC,Inside,24763
2024-01-02 21:00:00.000000 UTC,Outside,59658
2024-01-02 22:00:00.000000 UTC,Inside,17743
2024-01-02 22:00:00.000000 UTC,Outside,45346
2024-01-02 23:00:00.000000 UTC,Inside,9713
2024-01-02 23:00:00.000000 UTC,Outside,27338
2024-01-03 00:00:00.000000 UTC,Inside,5873
2024-01-03 00:00:00.000000 UTC,Outside,14104
2024-01-03 01:00:00.000000 UTC,Inside,1942
2024-01-03 01:00:00.000000 UTC,Outside,5389
2024-01-03 02:00:00.000000 UTC,Inside,1052
2024-01-03 02:00:00.000000 UTC,Outside,3740
2024-01-03 03:00:00.000000 UTC,Inside,661
2024-01-03 03:00:00.000000 UTC,Outside,5054
2024-01-03 04:00:00.000000 UTC,Inside,1189
2024-01-03 04:00:00.000000 UTC,Outside,15957
2024-01-03 05:00:00.000000 UTC,Inside,6144
2024-01-03 05:00:00.000000 UTC,Outside,56650
2024-01-03 06:00:00.000000 UTC,Inside,17171
2024-01-03 06:00:00.000000 UTC,Outside,124704
2024-01-03 07:00:00.000000 UTC,Inside,37220
2024-01-03 07:00:00.000000 UTC,Outside,247187
2024-01-03 08:00:00.000000 UTC,Inside,58341
2024-01-03 08:00:00.000000 UTC,Outside,292254
2024-01-03 09:00:00.000000 UTC,Inside,39220
2024-01-03 09:00:00.000000 UTC,Outside,175961
2024-01-03 10:00:00.000000 UTC,Inside,26565
2024-01-03 10:00:00.000000 UTC,Outside,118854
2024-01-03 11:00:00.000000 UTC,Inside,26833
2024-01-03 11:00:00.000000 UTC,Outside,108668
2024-01-03 12:00:00.000000 UTC,Inside,29892
2024-01-03 12:00:00.000000 UTC,Outside,116947
2024-01-03 13:00:00.000000 UTC,Inside,34370
2024-01-03 13:00:00.000000 UTC,Outside,133780
2024-01-03 14:00:00.000000 UTC,Inside,43453
2024-01-03 14:00:00.000000 UTC,Outside,166912
2024-01-03 15:00:00.000000 UTC,Inside,57579
2024-01-03 15:00:00.000000 UTC,Outside,206669
2024-01-03 16:00:00.000000 UTC,Inside,76739
2024-01-03 16:00:00.000000 UTC,Outside,239160
2024-01-03 17:00:00.000000 UTC,Inside,103266
2024-01-03 17:00:00.000000 UTC,Outside,278646
2024-01-03 18:00:00.000000 UTC,Inside,71681
2024-01-03 18:00:00.000000 UTC,Outside,195113
2024-01-03 19:00:00.000000 UTC,Inside,41377
2024-01-03 19:00:00.000000 UTC,Outside,116047
2024-01-03 20:00:00.000000 UTC,Inside,27563
2024-01-03 20:00:00.000000 UTC,Outside,78986
2024-01-03 21:00:00.000000 UTC,Inside,23102
2024-01-03 21:00:00.000000 UTC,Outside,60277
2024-01-03 22:00:00.000000 UTC,Inside,18855
2024-01-03 22:00:00.000000 UTC,Outside,47758
2024-01-03 23:00:00.000000 UTC,Inside,12164
2024-01-03 23:00:00.000000 UTC,Outside,31799
2024-01-04 00:00:00.000000 UTC,Inside,6059
2024-01-04 00:00:00.000000 UTC,Outside,14625
2024-01-04 01:00:00.000000 UTC,Inside,1920
2024-01-04 01:00:00.000000 UTC,Outside,5555
2024-01-04 02:00:00.000000 UTC,Inside,904
2024-01-04 02:00:00.000000 UTC,Outside,3858
2024-01-04 03:00:00.000000 UTC,Inside,695
2024-01-04 03:00:00.000000 UTC,Outside,5110
2024-01-04 04:00:00.000000 UTC,Inside,1170
2024-01-04 04:00:00.000000 UTC,Outside,15863
2024-01-04 05:00:00.000000 UTC,Inside,5925
2024-01-04 05:00:00.000000 UTC,Outside,56453
2024-01-04 06:00:00.000000 UTC,Inside,17167
2024-01-04 06:00:00.000000 UTC,Outside,124419
2024-01-04 07:00:00.000000 UTC,Inside,36081
2024-01-04 07:00:00.000000 UTC,Outside,246654
2024-01-04 08:00:00.000000 UTC,Inside,57848
2024-01-04 08:00:00.000000 UTC,Outside,291061
2024-01-04 09:00:00.000000 UTC,Inside,40150
2024-01-04 09:00:00.000000 UTC,Outside,178894
2024-01-04 10:00:00.000000 UTC,Inside,27211
2024-01-04 10:00:00.000000 UTC,Outside,120751
2024-01-04 11:00:00.000000 UTC,Inside,27306
2024-01-04 11:00:00.000000 UTC,Outside,109055
2024-01-04 12:00:00.000000 UTC,Inside,29905
2024-01-04 12:00:00.000000 UTC,Outside,116226
2024-01-04 13:00:00.000000 UTC,Inside,33581
2024-01-04 13:00:00.000000 UTC,Outside,131671
2024-01-04 14:00:00.000000 UTC,Inside,42488
2024-01-04 14:00:00.000000 UTC,Outside,167556
2024-01-04 15:00:00.000000 UTC,Inside,58522
2024-01-04 15:00:00.000000 UTC,Outside,209971
2024-01-04 16:00:00.000000 UTC,Inside,72374
2024-01-04 16:00:00.000000 UTC,Outside,237337
2024-01-04 17:00:00.000000 UTC,Inside,99725
2024-01-04 17:00:00.000000 UTC,Outside,279052
2024-01-04 18:00:00.000000 UTC,Inside,73474
